time,CPU1,CPU2,CPU3,CPU4,CPU5,CPU6,CPU7,CPU8
16:01:42,12.9,12.0,8.9,9.0,5.9,3.9,0.0,0.0
16:01:43,15.0,13.0,7.0,2.0,2.0,0.0,0.0,0.0
16:01:44,18.0,20.0,7.9,3.0,0.0,0.0,0.0,0.0
16:01:45,11.0,10.9,9.0,2.9,0.0,0.0,0.0,0.0
16:01:46,13.9,12.0,6.9,1.0,4.0,0.0,0.0,0.0
16:01:47,13.0,13.0,6.9,4.0,2.0,0.0,0.0,0.0
16:01:48,11.0,10.0,7.1,0.0,2.0,0.0,0.0,0.0
16:01:49,11.1,11.0,5.0,3.0,5.9,0.0,0.0,0.0
16:01:50,25.7,24.2,15.2,8.0,3.0,2.0,0.0,0.0
16:01:51,23.5,24.8,14.9,5.0,2.0,3.0,1.0,1.0
16:01:52,25.0,22.2,16.8,4.0,2.0,0.0,0.0,0.0
16:01:53,19.0,17.0,6.0,2.0,0.0,0.0,0.0,0.0
16:01:54,11.9,12.1,2.0,1.0,0.0,0.0,0.0,0.0
16:01:55,12.1,11.9,6.9,1.0,0.0,0.0,0.0,0.0
16:01:56,32.0,30.3,7.0,3.0,1.0,2.0,0.0,0.0
16:01:57,37.0,36.6,23.0,14.0,6.0,5.0,3.0,1.0
16:01:58,18.0,17.2,8.0,4.0,0.0,0.0,0.0,0.0
16:01:59,19.0,20.8,9.9,1.0,2.0,1.0,0.0,0.0
16:02:00,33.3,31.3,19.2,13.9,6.0,5.0,3.0,2.0
16:02:01,28.3,27.0,21.0,12.1,7.0,7.9,1.0,0.0
16:02:02,33.3,33.0,22.2,14.9,4.0,7.9,4.0,0.0
16:02:03,33.0,30.3,6.0,5.1,1.0,0.0,0.0,1.0
16:02:04,27.0,26.3,26.0,20.2,11.9,11.0,8.9,4.0
16:02:05,30.3,29.7,10.9,6.0,5.0,2.0,0.0,1.0
16:02:06,18.8,14.1,8.0,1.0,0.0,0.0,0.0,0.0
16:02:07,10.1,11.0,1.0,2.0,0.0,0.0,0.0,0.0
16:02:08,15.8,14.0,7.0,2.0,1.0,0.0,0.0,0.0
16:02:09,16.0,16.0,6.9,2.0,0.0,0.0,0.0,0.0
16:02:10,18.0,16.2,8.1,5.9,0.0,1.0,0.0,0.0
16:02:11,13.9,14.0,7.9,1.0,1.0,0.0,0.0,0.0
16:02:12,10.1,12.9,5.1,2.0,0.0,0.0,1.0,0.0
16:02:13,22.8,19.0,5.9,3.0,0.0,1.0,0.0,0.0
16:02:14,14.0,14.0,6.1,1.0,0.0,0.0,0.0,0.0
16:02:15,14.1,14.9,6.9,2.0,0.0,0.0,0.0,0.0
16:02:16,15.8,15.2,7.0,2.0,1.0,1.0,0.0,0.0
16:02:17,15.0,15.8,5.9,2.0,2.0,0.0,0.0,0.0
16:02:18,23.0,20.2,6.0,2.0,2.0,0.0,0.0,0.0
16:02:19,15.0,17.0,3.0,5.0,0.0,1.0,0.0,0.0
16:02:20,20.0,20.0,4.0,2.9,1.0,0.0,0.0,0.0
16:02:21,13.9,14.0,5.9,4.0,0.0,0.0,0.0,0.0
16:02:22,14.1,14.0,9.0,2.0,1.0,0.0,0.0,0.0
16:02:23,12.9,11.9,6.9,2.9,1.0,0.0,0.0,0.0
16:02:24,13.1,15.2,6.1,3.0,0.0,1.0,0.0,0.0
16:02:25,14.1,16.8,7.0,1.0,1.0,0.0,0.0,0.0
16:02:26,37.3,33.0,11.9,6.9,3.0,2.0,0.0,0.0
16:02:27,39.8,37.4,15.0,6.1,2.0,3.0,1.0,0.0
16:02:28,23.0,23.2,14.0,7.9,3.0,2.0,2.0,1.0
16:02:29,20.8,17.0,7.0,2.0,1.0,1.0,0.0,0.0
16:02:30,16.2,16.0,8.1,3.0,1.0,0.0,0.0,0.0
16:02:31,15.0,15.0,8.0,2.0,1.0,2.0,0.0,0.0
16:02:32,16.8,15.0,6.9,1.0,0.0,0.0,0.0,0.0
16:02:33,12.0,11.9,3.0,2.0,0.0,0.0,0.0,0.0
16:02:34,12.1,12.1,5.1,1.0,0.0,0.0,0.0,0.0
16:02:35,14.0,15.0,7.9,2.0,1.0,0.0,0.0,0.0
16:02:36,16.8,16.8,7.0,1.0,0.0,0.0,0.0,0.0
16:02:37,14.1,16.0,8.0,3.0,0.0,1.0,0.0,0.0
16:02:38,16.8,15.0,9.8,2.9,2.0,0.0,0.0,0.0
16:02:39,12.1,13.0,5.1,1.0,0.0,0.0,1.0,0.0
16:02:40,10.9,10.0,6.0,2.0,0.0,0.0,0.0,0.0
16:02:41,25.0,25.0,27.7,19.0,8.9,6.0,0.0,0.0
16:02:42,10.1,10.9,7.0,2.0,0.0,0.0,0.0,0.0
16:02:43,24.8,23.2,8.0,2.0,0.0,0.0,0.0,0.0
16:02:44,23.2,24.0,9.0,3.0,1.0,0.0,0.0,0.0
16:02:45,18.2,16.0,6.0,2.0,0.0,0.0,0.0,0.0
16:02:46,12.9,12.9,2.0,0.0,0.0,0.0,0.0,0.0
16:02:47,26.3,26.3,13.0,4.0,3.0,2.0,0.0,0.0
16:02:48,22.8,21.8,10.9,4.9,2.9,0.0,0.0,0.0
16:02:49,12.1,11.1,5.1,1.0,0.0,0.0,0.0,0.0
16:02:50,14.9,14.0,5.9,3.0,2.0,1.0,2.0,0.0
16:02:51,15.3,15.8,6.0,2.0,0.0,1.0,0.0,0.0
16:02:52,23.8,21.2,6.9,2.0,2.0,1.0,0.0,0.0
16:02:53,23.0,23.2,7.0,5.9,2.0,2.0,0.0,0.0
16:02:54,24.2,22.2,13.0,4.0,1.0,1.0,0.0,0.0
16:02:55,25.0,23.0,10.0,2.0,1.0,0.0,0.0,0.0
16:02:56,20.2,19.0,4.0,6.0,1.0,0.0,0.0,0.0
16:02:57,17.0,15.0,5.9,5.9,0.0,0.0,0.0,1.0
16:02:58,16.0,16.0,8.0,3.0,1.0,0.0,0.0,0.0
16:02:59,12.9,13.9,5.0,1.0,0.0,0.0,0.0,0.0
16:03:00,34.0,30.3,13.0,5.0,2.0,1.0,1.0,0.0
16:03:01,18.2,19.0,9.0,3.0,1.0,0.0,0.0,0.0
16:03:02,19.0,18.8,7.1,3.0,1.0,1.0,0.0,0.0
16:03:03,15.0,14.1,7.8,3.0,5.0,0.0,0.0,0.0
16:03:04,13.1,13.1,8.0,3.0,1.0,0.0,0.0,0.0
16:03:05,21.8,20.8,6.1,3.0,3.0,1.0,0.0,0.0
16:03:06,19.0,19.0,19.0,12.0,5.0,3.0,2.0,1.0
16:03:07,20.0,19.0,17.8,13.9,2.0,1.0,0.0,0.0
16:03:08,19.0,21.0,8.0,2.0,2.0,0.0,0.0,0.0
16:03:09,30.0,30.0,9.1,2.0,0.0,0.0,0.0,0.0
16:03:10,28.3,28.3,10.8,2.0,1.0,1.0,0.0,0.0
16:03:11,22.0,18.0,4.0,1.0,0.0,0.0,0.0,0.0
16:03:12,15.0,18.8,11.9,3.0,2.0,0.0,1.0,0.0
16:03:13,41.0,39.0,13.0,5.0,2.0,3.0,0.0,1.0
16:03:14,38.0,35.4,10.1,3.0,2.0,3.0,1.0,0.0
16:03:15,25.3,24.2,13.9,3.0,1.0,1.0,0.0,0.0
